x-axis,1,2
second,Volt,Volt
+24.40000E-03,+4.46339E-03,+248.72489E-03
+24.42500E-03,+4.49450E-03,+250.67052E-03
+24.45000E-03,+4.49322E-03,+248.72489E-03
+24.47500E-03,+4.57104E-03,+252.74499E-03
+24.50000E-03,+4.49322E-03,+252.74499E-03
+24.52500E-03,+4.53728E-03,+254.94831E-03
+24.55000E-03,+4.49322E-03,+253.52454E-03
+24.57500E-03,+4.53342E-03,+256.50740E-03
+24.60000E-03,+4.53342E-03,+254.03992E-03
+24.62500E-03,+4.55030E-03,+255.07715E-03
+24.65000E-03,+4.53342E-03,+256.76509E-03
+24.67500E-03,+4.49322E-03,+256.76509E-03
+24.70000E-03,+4.53593E-03,+258.18886E-03
+24.72500E-03,+4.55803E-03,+260.78519E-03
+24.75000E-03,+4.62793E-03,+257.28695E-03
+24.77500E-03,+4.57362E-03,+260.78519E-03
+24.80000E-03,+4.52427E-03,+259.23258E-03
+24.82500E-03,+4.56202E-03,+260.78519E-03
+24.85000E-03,+4.56969E-03,+260.78519E-03
+24.87500E-03,+4.52697E-03,+260.78519E-03
+24.90000E-03,+4.51660E-03,+263.12384E-03
+24.92500E-03,+4.53342E-03,+262.08660E-03
+24.95000E-03,+4.53078E-03,+264.80529E-03
+24.97500E-03,+4.49322E-03,+261.55826E-03
+25.00000E-03,+4.48523E-03,+264.80529E-03
+25.02500E-03,+4.54514E-03,+267.65283E-03
+25.05000E-03,+4.57226E-03,+264.80529E-03
+25.07500E-03,+4.59578E-03,+264.80529E-03
+25.10000E-03,+4.55423E-03,+264.80529E-03
+25.12500E-03,+4.55274E-03,+261.82891E-03
+25.15000E-03,+4.49315E-03,+264.81178E-03
+25.17500E-03,+4.53342E-03,+264.80529E-03
+25.20000E-03,+4.59314E-03,+266.87328E-03
+25.22500E-03,+4.48046E-03,+265.72017E-03
+25.25000E-03,+4.53219E-03,+268.70303E-03
+25.27500E-03,+4.54501E-03,+264.80529E-03
+25.30000E-03,+4.55165E-03,+264.80529E-03
+25.32500E-03,+4.53342E-03,+264.80529E-03
+25.35000E-03,+4.60628E-03,+265.05650E-03
+25.37500E-03,+4.62825E-03,+264.80529E-03
+25.40000E-03,+4.58624E-03,+264.80529E-03
+25.42500E-03,+4.54656E-03,+264.80529E-03
+25.45000E-03,+4.61762E-03,+264.80529E-03
+25.47500E-03,+4.64216E-03,+264.80529E-03
+25.50000E-03,+4.58927E-03,+264.80529E-03
+25.52500E-03,+4.57362E-03,+264.80529E-03
